Date,Very Good,Good,Bad,Very Bad,Hard to answer
2020-01-01,6,36,27,20,11
2019-09-01,9,47,19,12,13
2019-02-01,4,30,30,25,10
2018-11-01,3,25,31,29,11
2018-09-01,3,30,32,23,12
2018-07-01,4,33,29,20,15
2018-03-01,2,31,35,20,12
2018-01-01,3,32,34,13,18
2017-12-01,2,26,39,17,17
2017-09-01,3,29,33,20,15
2017-05-01,2,24,39,20,15
2017-03-01,3,31,36,20,11
2017-01-01,2,31,39,15,13
2016-11-01,3,30,35,16,16
2016-09-01,2,24,38,18,17
2016-08-01,2,29,36,22,11
2016-07-01,4,37,33,11,16
2016-05-01,4,35,37,10,13
2016-05-01,2,24,45,18,12
2016-03-01,2,23,42,22,11
2016-01-01,2,26,37,22,14
2015-11-01,2,25,42,21,10
2015-09-01,4,29,36,20,11
2015-05-01,3,23,36,23,14
2015-03-01,3,28,34,21,13
2014-11-01,3,25,40,19,12
2014-09-01,3,29,39,16,13
2014-05-01,5,30,33,16,17
2014-03-01,6,46,28,9,11
2013-09-01,7,62,20,3,8
2013-03-01,8,61,19,3,9
2012-09-01,8,66,14,3,10
